index,glir,qo,qt,wc,ch,gor
509,54.2,136.53,330.53,3.99,1133,19299.79
510,54.2,136.53,330.53,3.99,1133,19299.79
511,54.2,136.53,330.53,3.99,1133,19299.79
512,54.2,136.53,330.53,3.99,1133,19299.79
513,54.2,136.53,330.53,3.99,1133,19299.79
514,54.2,136.53,330.53,3.99,1133,19299.79
515,54.2,136.53,330.53,3.99,1133,19299.79
516,54.2,136.53,330.53,3.99,1133,19299.79
517,54.2,136.53,330.53,3.99,1133,19299.79
518,54.2,136.53,330.53,3.99,1133,19299.79
519,54.2,136.53,330.53,3.99,1133,19299.79
520,54.2,136.53,330.53,3.99,1133,19299.79
521,54.2,136.53,330.53,3.99,1133,19299.79
522,54.2,136.53,330.53,3.99,1133,19299.79
523,54.2,136.53,330.53,3.99,1133,19299.79
524,54.2,136.53,330.53,3.99,1133,19299.79
525,54.2,136.53,330.53,3.99,1133,19299.79
526,54.2,136.53,330.53,3.99,1133,19299.79
527,54.2,136.53,330.53,3.99,1133,19299.79
528,54.2,136.53,330.53,3.99,1133,19299.79
529,54.2,136.53,330.53,3.99,1133,19299.79
530,54.2,136.53,330.53,3.99,1133,19299.79
531,54.2,136.53,330.53,3.99,1133,19299.79
532,54.2,136.53,330.53,3.99,1133,19299.79
533,54.2,136.53,330.53,3.99,1133,19299.79
534,54.2,136.53,330.53,3.99,1133,19299.79
535,54.2,137.2,331.2,3.99,1133,19205.54
536,54.2,137.2,331.2,3.99,1133,19205.54
537,54.2,137.2,331.2,3.99,1133,19205.54
538,54.2,137.2,331.2,3.99,1133,19205.54
539,54.2,137.2,331.2,3.99,1133,19205.54
540,54.2,137.2,331.2,3.99,1133,19205.54
541,54.2,137.2,331.2,3.99,1133,19205.54
542,54.2,137.2,331.2,3.99,1133,19205.54
543,54.2,137.2,331.2,3.99,1133,19205.54
544,54.2,137.2,331.2,3.99,1133,19205.54
545,54.2,137.2,331.2,3.99,1133,19205.54
546,54.2,137.2,331.2,3.99,1133,19205.54
547,54.2,137.2,331.2,3.99,1133,19205.54
548,54.2,137.2,331.2,3.99,1133,19205.54
549,54.2,137.2,331.2,3.99,1133,19205.54
550,54.2,137.2,331.2,3.99,1133,19205.54
